A,OpenStartPage,1449595380983,369,false
A,Homepage,1449595381446,2518,false
A,HomepageAgain,1449595384041,2553,false
A,SearchProductBySKU,1449595386735,3732,false
A,ConfigureProduct,1449595390578,3318,false
A,AddToCart,1449595394042,1966,false
A,ViewCart,1449595396064,3746,false
A,Checkout,1449595399882,4177,false
A,CheckoutAsGuest,1449595404184,26270,false
A,CheckoutShipping,1449595430563,31828,false
A,CheckoutBilling,1449595462470,27762,false
A,CheckoutPlaceOrder,1449595490359,24121,false
A,CreateAnAccountFromConfirmationPage,1449595514598,5473,false
A,AccountPersonalData,1449595520183,3666,false
A,AccountOrders,1449595523931,5362,false
A,OpenUserPanel,1449595529342,621,false
A,Logout,1449595530034,2596,false
A,OpenStartPage,1449595532978,282,false
A,Homepage,1449595533353,2924,false
A,HomepageAgain,1449595536365,2402,false
A,SearchProductBySKU,1449595538835,3806,false
A,ConfigureProduct,1449595542725,3315,false
A,AddToCart,1449595546156,2064,false
A,ViewCart,1449595548347,3248,false
A,Checkout,1449595551718,4025,false
